"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1581","test_post_search_products","tests","Sun Aug 24 15:40:07 IST 2025","passed","Sun Aug 24 15:40:08 IST 2025","","test_post_search_products","",""
"","1298","test_post_verify_login_invalid_password_parameters","tests","Sun Aug 24 15:40:12 IST 2025","passed","Sun Aug 24 15:40:14 IST 2025","","test_post_verify_login_invalid_parameters","",""
"","1360","test_delete_account","tests","Sun Aug 24 15:39:58 IST 2025","passed","Sun Aug 24 15:40:00 IST 2025","","test_account","",""
"","1335","test_post_product_without_search","tests","Sun Aug 24 15:40:04 IST 2025","passed","Sun Aug 24 15:40:05 IST 2025","","test_post_product_without_search","",""
"","2324","test_put_brands","tests","Sun Aug 24 15:40:14 IST 2025","passed","Sun Aug 24 15:40:16 IST 2025","","test_put_brands","",""
"","1276","test_post_verify_login","tests","Sun Aug 24 15:40:08 IST 2025","passed","Sun Aug 24 15:40:10 IST 2025","","test_post_verify_login","",""
"","1361","test_post_verify_login_invalid_email_parameters","tests","Sun Aug 24 15:40:11 IST 2025","passed","Sun Aug 24 15:40:12 IST 2025","","test_post_verify_login_invalid_parameters","",""
"","1323","test_delete_verify_login","tests","Sun Aug 24 15:40:00 IST 2025","passed","Sun Aug 24 15:40:01 IST 2025","","test_delete_verify_login","",""
"","1480","test_get_user_detail","tests","Sun Aug 24 15:39:56 IST 2025","passed","Sun Aug 24 15:39:57 IST 2025","","test_account","",""
"","1384","test_post_all_products","tests","Sun Aug 24 15:40:05 IST 2025","passed","Sun Aug 24 15:40:07 IST 2025","","test_post_products","",""
"","1926","test_post_create_account","tests","Sun Aug 24 15:39:54 IST 2025","passed","Sun Aug 24 15:39:56 IST 2025","","test_account","",""
"","1362","test_put_update_account","tests","Sun Aug 24 15:39:57 IST 2025","passed","Sun Aug 24 15:39:58 IST 2025","","test_account","",""
"","1566","test_get_all_products","tests","Sun Aug 24 15:40:03 IST 2025","passed","Sun Aug 24 15:40:04 IST 2025","","test_get_products","",""
"","1486","test_get_all_brands","tests","Sun Aug 24 15:40:01 IST 2025","passed","Sun Aug 24 15:40:03 IST 2025","","test_get_brands","",""
"","1351","test_post_verify_login_invalid","tests","Sun Aug 24 15:40:10 IST 2025","passed","Sun Aug 24 15:40:11 IST 2025","","test_post_verify_login_invalid","",""
